etab|x|y|annee|commune|secteur|acad|dep|nom_norme|ep|effectif_1er_cycle|ips_total|note_ecrit_dnb|ens_inf_35_ans
0010024W|935631.1|6586359.8|2016|01173|public|Lyon|01|COLLEGE GEORGES CHARPAK|Hors EP|578|113|14|14.6
0010024W|935631.1|6586359.8|2017|01173|public|Lyon|01|COLLEGE GEORGES CHARPAK|Hors EP|641|117.2|11.5|20.1
0010025X|901376.4|6545064.2|2014|01185|public|Lyon|01|COLLEGE PAUL SIXDENIER|Hors EP|289|117.4|13.4|15.7
0010025X|901376.4|6545064.2|2015|01185|public|Lyon|01|COLLEGE PAUL SIXDENIER|Hors EP|290|88.2|13.1|19.7
0010025X|901376.4|6545064.2|2016|01185|public|Lyon|01|COLLEGE PAUL SIXDENIER|Hors EP|275|98.4|11.7|27.5
0010025X|901376.4|6545064.2|2017|01185|public|Lyon|01|COLLEGE PAUL SIXDENIER|Hors EP|256|90.5|12.5|23.8
0010026Y|881747.1|6535930.3|2014|01202|public|Lyon|01|COLLEGE PAUL CLAUDEL|Hors EP|805|118.8|9.8|11.1
0010026Y|881747.1|6535930.3|2015|01202|public|Lyon|01|COLLEGE PAUL CLAUDEL|Hors EP|816|105.4|9.5|14.8
0010026Y|881747.1|6535930.3|2016|01202|public|Lyon|01|COLLEGE PAUL CLAUDEL|Hors EP|784|76.6|11.7|23.6
0010026Y|881747.1|6535930.3|2017|01202|public|Lyon|01|COLLEGE PAUL CLAUDEL|Hors EP|818|103.5|10.5|22.8
0010035H|903201.9|6576170.7|2014|01283|public|Lyon|01|COLLEGE LOUIS LUMIERE|REP+|553|92.1|10.4|22.1
0010035H|903201.9|6576170.7|2015|01283|public|Lyon|01|COLLEGE LOUIS LUMIERE|REP+|558|104.5|10.1|3.5
0010035H|903201.9|6576170.7|2016|01283|public|Lyon|01|COLLEGE LOUIS LUMIERE|REP+|583|99.5|12.9|22.3
0010035H|903201.9|6576170.7|2017|01283|public|Lyon|01|COLLEGE LOUIS LUMIERE|REP+|621|92.2|8.2|12.7
0010036J|886157.8|6556640.1|2014|01303|public|Lyon|01|COLLEGE ROGER VAILLAND|Hors EP|465|123.3|12.5|23.1
0010036J|886157.8|6556640.1|2015|01303|public|Lyon|01|COLLEGE ROGER VAILLAND|Hors EP|434|95.5|12.8|27.9
0010036J|886157.8|6556640.1|2016|01303|public|Lyon|01|COLLEGE ROGER VAILLAND|Hors EP|411|112.5|8.7|53.1
0010036J|886157.8|6556640.1|2017|01303|public|Lyon|01|COLLEGE ROGER VAILLAND|Hors EP|424|102.1|11.3|27.2
0010037K|881341.2|6552249.4|2014|01304|public|Lyon|01|COLLEGE LOUISE DE SAVOIE|Hors EP|480|100.6|9.9|20.2
0010037K|881341.2|6552249.4|2015|01304|public|Lyon|01|COLLEGE LOUISE DE SAVOIE|Hors EP|469|107.6|10.5|19.8
0010037K|881341.2|6552249.4|2016|01304|public|Lyon|01|COLLEGE LOUISE DE SAVOIE|Hors EP|476|100.8|11.5|29.4
0010037K|881341.2|6552249.4|2017|01304|public|Lyon|01|COLLEGE LOUISE DE SAVOIE|Hors EP|490|102.6|9.8|38.3
0010039M|888313.2|6540881.6|2014|01384|public|Lyon|01|COLLEGE DE L ALBARINE|REP|263|97|11.1|1.3
0010039M|888313.2|6540881.6|2015|01384|public|Lyon|01|COLLEGE DE L ALBARINE|REP|250|105.5|13.8|19.3
0010039M|888313.2|6540881.6|2016|01384|public|Lyon|01|COLLEGE DE L ALBARINE|REP|249|89.2|11.4|33.3
0010039M|888313.2|6540881.6|2017|01384|public|Lyon|01|COLLEGE DE L ALBARINE|REP|237|126.5|9.7|33.9
0010040N|859526.9|6597535.3|2014|01388|public|Lyon|01|COLLEGE LOUIS VUITTON|Hors EP|267|53.1|11.2|17.8
0010040N|859526.9|6597535.3|2015|01388|public|Lyon|01|COLLEGE LOUIS VUITTON|Hors EP|276|82.8|11.2|19.6
0010040N|859526.9|6597535.3|2016|01388|public|Lyon|01|COLLEGE LOUIS VUITTON|Hors EP|263|114|10.2|23.1
0010040N|859526.9|6597535.3|2017|01388|public|Lyon|01|COLLEGE LOUIS VUITTON|Hors EP|260|106.2|10.4|37
0010041P|869648.5|6536557.6|2014|01244|public|Lyon|01|COLLEGE VAUGELAS|Hors EP|807|124.4|14.1|23.1
0010041P|869648.5|6536557.6|2015|01244|public|Lyon|01|COLLEGE VAUGELAS|Hors EP|780|104.9|8.3|16.5
0010041P|869648.5|6536557.6|2016|01244|public|Lyon|01|COLLEGE VAUGELAS|Hors EP|755|113.2|12.2|34.6
0010041P|869648.5|6536557.6|2017|01244|public|Lyon|01|COLLEGE VAUGELAS|Hors EP|760|103.7|10.6|37.9
0010042R|838945.2|6565533|2014|01420|public|Lyon|01|COLLEGE BEL AIR|Hors EP|678|105.1|12.8|17
0010042R|838945.2|6565533|2015|01420|public|Lyon|01|COLLEGE BEL AIR|Hors EP|674|106|9|38.1
0010042R|838945.2|6565533|2016|01420|public|Lyon|01|COLLEGE BEL AIR|Hors EP|519|110.2|14.1|25.3
0010042R|838945.2|6565533|2017|01420|public|Lyon|01|COLLEGE BEL AIR|Hors EP|469|128.2|10.7|29.7
0010046V|853183.4|6570747.6|2014|01457|public|Lyon|01|COLLEGE DU RENON|Hors EP|425|103|10.5|47.7
0010046V|853183.4|6570747.6|2015|01457|public|Lyon|01|COLLEGE DU RENON|Hors EP|413|80.5|11.5|40.1
0010046V|853183.4|6570747.6|2016|01457|public|Lyon|01|COLLEGE DU RENON|Hors EP|413|105.5|11|5.5
0010046V|853183.4|6570747.6|2017|01457|public|Lyon|01|COLLEGE DU RENON|Hors EP|421|92.7|13|19.2
0010066S|837026.9|6539732.9|2014|01427|public|Lyon|01|COLLEGE JEAN MOULIN|Hors EP|756|105.7|10.5|23.9
0010066S|837026.9|6539732.9|2015|01427|public|Lyon|01|COLLEGE JEAN MOULIN|Hors EP|729|93|11.6|14.8
0010066S|837026.9|6539732.9|2016|01427|public|Lyon|01|COLLEGE JEAN MOULIN|Hors EP|716|79.7|13.6|35.2
0010066S|837026.9|6539732.9|2017|01427|public|Lyon|01|COLLEGE JEAN MOULIN|Hors EP|712|77.1|11.3|35.9
0010076C|882878.8|6542587|2014|01004|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINTE MARIE|Hors EP|401|104.9|8|39.7
0010076C|882878.8|6542587|2015|01004|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINTE MARIE|Hors EP|414|98.4|12.8|20.2
0010076C|882878.8|6542587|2016|01004|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINTE MARIE|Hors EP|451|93.4|10|24.7
0010076C|882878.8|6542587|2017|01004|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINTE MARIE|Hors EP|473|106.8|11.9|10.1
0010079F|871631.8|6569153.8|2014|01053|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT JOSEPH|Hors EP|444|100|9.5|18.8
0010079F|871631.8|6569153.8|2015|01053|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT JOSEPH|Hors EP|433|67.1|11.1|12.9
0010079F|871631.8|6569153.8|2016|01053|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT JOSEPH|Hors EP|450|91.3|8.8|35.1
0010079F|871631.8|6569153.8|2017|01053|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT JOSEPH|Hors EP|476|96|9.9|38
0010080G|871022.5|6568987.5|2014|01053|privé sous contrat|Lyon|01|COLLEGE PRIVE JEANNE D ARC|Hors EP|321|127.5|11|61.4
0010080G|871022.5|6568987.5|2015|01053|privé sous contrat|Lyon|01|COLLEGE PRIVE JEANNE D ARC|Hors EP|308|102.9|9.8|15.8
0010080G|871022.5|6568987.5|2016|01053|privé sous contrat|Lyon|01|COLLEGE PRIVE JEANNE D ARC|Hors EP|337|113.4|9.9|4.4
0010080G|871022.5|6568987.5|2017|01053|privé sous contrat|Lyon|01|COLLEGE PRIVE JEANNE D ARC|Hors EP|332|94.1|8.8|46.8
0010082J|871798|6569524.5|2014|01053|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT PIERRE|Hors EP|790|98.3|11.3|18.3
0010082J|871798|6569524.5|2015|01053|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT PIERRE|Hors EP|787|97.5|12|35.3
0010082J|871798|6569524.5|2016|01053|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT PIERRE|Hors EP|800|98.1|12.7|47.6
0010082J|871798|6569524.5|2017|01053|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT PIERRE|Hors EP|818|75|8.1|37.4
0010083K|860488|6530078|2014|01142|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT LOUIS|Hors EP|615|101.2|10.2|17.1
0010083K|860488|6530078|2015|01142|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT LOUIS|Hors EP|642|89.8|9.1|32.8
0010083K|860488|6530078|2016|01142|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT LOUIS|Hors EP|657|128.7|9.8|7.1
0010083K|860488|6530078|2017|01142|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT LOUIS|Hors EP|687|98.9|10.7|35.7
0010084L|851043.3|6559573.4|2014|01093|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT CHARLES|Hors EP|271|93.9|7.8|49
0010084L|851043.3|6559573.4|2015|01093|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT CHARLES|Hors EP|268|89.4|10.7|11.5
0010084L|851043.3|6559573.4|2016|01093|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT CHARLES|Hors EP|260|119.9|10.1|36
0010084L|851043.3|6559573.4|2017|01093|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT CHARLES|Hors EP|220|68.8|7.2|28.4
0010086N|845233|6583474.2|2014|01159|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT CHARLES|Hors EP|408|91.5|12.3|41.2
0010086N|845233|6583474.2|2015|01159|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT CHARLES|Hors EP|405|121.6|12.5|0
0010086N|845233|6583474.2|2016|01159|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT CHARLES|Hors EP|409|100.9|11.7|11.2
0010086N|845233|6583474.2|2017|01159|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT CHARLES|Hors EP|440|111.7|9|48.7
0010088R|935314|6585657.5|2014|01173|privé sous contrat|Lyon|01|COLLEGE PRIVE JEANNE D ARC|Hors EP|732|99.9|10.7|0
0010088R|935314|6585657.5|2015|01173|privé sous contrat|Lyon|01|COLLEGE PRIVE JEANNE D ARC|Hors EP|743|83.4|12.6|34.2
0010088R|935314|6585657.5|2016|01173|privé sous contrat|Lyon|01|COLLEGE PRIVE JEANNE D ARC|Hors EP|756|106.7|12.1|23.1
0010088R|935314|6585657.5|2017|01173|privé sous contrat|Lyon|01|COLLEGE PRIVE JEANNE D ARC|Hors EP|784|101.9|9.6|4.4
0010089S|873765.9|6584845|2014|01232|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT PIERRE|Hors EP|105|101.9|10|42.1
0010089S|873765.9|6584845|2015|01232|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT PIERRE|Hors EP|109|135.5|8.9|23
0010089S|873765.9|6584845|2016|01232|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT PIERRE|Hors EP|120|99.7|11.4|6.8
0010089S|873765.9|6584845|2017|01232|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT PIERRE|Hors EP|103|106.2|9.7|18.5
0010092V|904572.8|6576749.9|2014|01283|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT JOSEPH|Hors EP|413|124.8|11.6|16.4
0010092V|904572.8|6576749.9|2015|01283|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT JOSEPH|Hors EP|436|82.6|14.5|8.4
0010092V|904572.8|6576749.9|2016|01283|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT JOSEPH|Hors EP|470|80.1|10.8|50.8
0010092V|904572.8|6576749.9|2017|01283|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT JOSEPH|Hors EP|464|113.1|10.3|13.2
0010095Y|839941.1|6565948.6|2014|01348|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT JOSEPH|Hors EP|646|114.8|10.6|41.7
0010095Y|839941.1|6565948.6|2015|01348|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT JOSEPH|Hors EP|665|127.7|10|0
0010095Y|839941.1|6565948.6|2016|01348|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT JOSEPH|Hors EP|535|100.6|12|27.5
0010095Y|839941.1|6565948.6|2017|01348|privé sous contrat|Lyon|01|COLLEGE PRIVE SAINT JOSEPH|Hors EP|536|119.2|8.7|12.1
0010097A|838183.8|6539105.6|2014|01427|privé sous contrat|Lyon|01|COLLEGE PRIVE DE LA SIDOINE|Hors EP|479|110|11.2|24.8
0010097A|838183.8|6539105.6|2015|01427|privé sous contrat|Lyon|01|COLLEGE PRIVE DE LA SIDOINE|Hors EP|461|84.2|13.1|31.6
0010097A|838183.8|6539105.6|2016|01427|privé sous contrat|Lyon|01|COLLEGE PRIVE DE LA SIDOINE|Hors EP|474|118.3|11.5|37.8
0010097A|838183.8|6539105.6|2017|01427|privé sous contrat|Lyon|01|COLLEGE PRIVE DE LA SIDOINE|Hors EP|506|109|10.4|7.6
0010794H|908405.5|6534145.1|2014|01022|public|Lyon|01|COLLEGE DU VALROMEY|Hors EP|299|138.2|9.7|29.1
0010794H|908405.5|6534145.1|2015|01022|public|Lyon|01|COLLEGE DU VALROMEY|Hors EP|290|105.7|9.7|6.5
0010794H|908405.5|6534145.1|2016|01022|public|Lyon|01|COLLEGE DU VALROMEY|Hors EP|278|124.3|11.4|33
0010794H|908405.5|6534145.1|2017|01022|public|Lyon|01|COLLEGE DU VALROMEY|Hors EP|293|58.6|9.9|33.9
0010796K|859720.6|6530299|2014|01262|public|Lyon|01|COLLEGE EMILE CIZAIN|Hors EP|686|85.7|8.9|4.5
0010796K|859720.6|6530299|2015|01262|public|Lyon|01|COLLEGE EMILE CIZAIN|Hors EP|654|115.4|10.7|38.6
0010796K|859720.6|6530299|2016|01262|public|Lyon|01|COLLEGE EMILE CIZAIN|Hors EP|649|85.4|10.2|23.8
0010796K|859720.6|6530299|2017|01262|public|Lyon|01|COLLEGE EMILE CIZAIN|Hors EP|687|96|10.7|45.7
0010802S|903177.5|6576030.2|2014|01283|public|Lyon|01|COLLEGE AMPERE|REP+|623|114.5|12.2|14.1
0010802S|903177.5|6576030.2|2015|01283|public|Lyon|01|COLLEGE AMPERE|REP+|641|120.4|12.4|15.4
0010802S|903177.5|6576030.2|2016|01283|public|Lyon|01|COLLEGE AMPERE|REP+|634|94.3|11.8|20.8
0010802S|903177.5|6576030.2|2017|01283|public|Lyon|01|COLLEGE AMPERE|REP+|671|117.7|10.4|11.3
0010820L|845175|6575525.2|2014|01306|public|Lyon|01|COLLEGE GEORGE SAND|Hors EP|587|100.2|11.1|34.8
0010820L|845175|6575525.2|2015|01306|public|Lyon|01|COLLEGE GEORGE SAND|Hors EP|606|99.9|13.3|19.8
0010820L|845175|6575525.2|2016|01306|public|Lyon|01|COLLEGE GEORGE SAND|Hors EP|536|77.8|9.8|14.5
0010820L|845175|6575525.2|2017|01306|public|Lyon|01|COLLEGE GEORGE SAND|Hors EP|537|77.6|8.7|22.6
0010821M|851343.6|6560417.8|2014|01093|public|Lyon|01|COLLEGE EUGENE DUBOIS|Hors EP|763|131.1|13.3|35.8
0010821M|851343.6|6560417.8|2015|01093|public|Lyon|01|COLLEGE EUGENE DUBOIS|Hors EP|779|104.6|10.5|43.7
0010821M|851343.6|6560417.8|2016|01093|public|Lyon|01|COLLEGE EUGENE DUBOIS|Hors EP|597|83.2|8.8|36
0010821M|851343.6|6560417.8|2017|01093|public|Lyon|01|COLLEGE EUGENE DUBOIS|Hors EP|632|96.9|10.2|29.2
0010823P|872068.2|6569401.7|2014|01053|public|Lyon|01|COLLEGE DE BROU|Hors EP|430|77.1|9|0
0010823P|872068.2|6569401.7|2015|01053|public|Lyon|01|COLLEGE DE BROU|Hors EP|419|111.1|13.1|24.7
0010823P|872068.2|6569401.7|2016|01053|public|Lyon|01|COLLEGE DE BROU|Hors EP|440|91.1|12.8|17.5
0010823P|872068.2|6569401.7|2017|01053|public|Lyon|01|COLLEGE DE BROU|Hors EP|448|116.6|14.2|21.1
0010895T|863203.6|6584112.3|2014|01266|public|Lyon|01|COLLEGE|Hors EP|764|75.8|14.1|17.3
0010895T|863203.6|6584112.3|2015|01266|public|Lyon|01|COLLEGE|Hors EP|766|88.3|12.3|18.7
0010895T|863203.6|6584112.3|2016|01266|public|Lyon|01|COLLEGE|Hors EP|753|91.3|11.8|26.2
0010895T|863203.6|6584112.3|2017|01266|public|Lyon|01|COLLEGE|Hors EP|743|102.4|11.1|26.7
0010896U|939984|6578618.1|2014|01160|public|Lyon|01|COLLEGE INTERNATIONAL|Hors EP|919|89.2|9.8|26.6
0010896U|939984|6578618.1|2015|01160|public|Lyon|01|COLLEGE INTERNATIONAL|Hors EP|997|117.2|10.7|41.2
0010896U|939984|6578618.1|2016|01160|public|Lyon|01|COLLEGE INTERNATIONAL|Hors EP|973|99.6|12|43.8
0010896U|939984|6578618.1|2017|01160|public|Lyon|01|COLLEGE INTERNATIONAL|Hors EP|1016|109.6|10.6|21.5
0010938P|870084.3|6567950|2014|01289|public|Lyon|01|COLLEGE LES COTES|Hors EP|532|84.4|13|23.1
0010938P|870084.3|6567950|2015|01289|public|Lyon|01|COLLEGE LES COTES|Hors EP|524|115.6|11.3|10.9
0010938P|870084.3|6567950|2016|01289|public|Lyon|01|COLLEGE LES COTES|Hors EP|509|128.6|9.2|24.3
0010938P|870084.3|6567950|2017|01289|public|Lyon|01|COLLEGE LES COTES|Hors EP|514|122.3|11.6|22
0010939R|856869.3|6546581.2|2014|01443|public|Lyon|01|COLLEGE LEON COMAS|Hors EP|532|119.4|11.3|32.3
0010939R|856869.3|6546581.2|2015|01443|public|Lyon|01|COLLEGE LEON COMAS|Hors EP|523|72.5|9.8|32.4
0010939R|856869.3|6546581.2|2016|01443|public|Lyon|01|COLLEGE LEON COMAS|Hors EP|529|106.7|8.8|32.8
0010939R|856869.3|6546581.2|2017|01443|public|Lyon|01|COLLEGE LEON COMAS|Hors EP|527|97|12.5|13.6
0010964T|852780.4|6527278.6|2014|01249|public|Lyon|01|COLLEGE ANNE FRANK|Hors EP|397|112.7|5|45.3
0010964T|852780.4|6527278.6|2015|01249|public|Lyon|01|COLLEGE ANNE FRANK|Hors EP|427|89.1|11.5|26.7
0010964T|852780.4|6527278.6|2016|01249|public|Lyon|01|COLLEGE ANNE FRANK|Hors EP|435|95.5|11.5|13.2
0010964T|852780.4|6527278.6|2017|01249|public|Lyon|01|COLLEGE ANNE FRANK|Hors EP|451|73.6|9.2|30.1
0010974D|873101.4|6569929.3|2014|01053|public|Lyon|01|COLLEGE VICTOIRE DAUBIE|Hors EP|481|81.5|11.2|13.4
0010974D|873101.4|6569929.3|2015|01053|public|Lyon|01|COLLEGE VICTOIRE DAUBIE|Hors EP|459|119.9|6.8|15.7
0010974D|873101.4|6569929.3|2016|01053|public|Lyon|01|COLLEGE VICTOIRE DAUBIE|Hors EP|449|104.9|9.7|33.2
0010974D|873101.4|6569929.3|2017|01053|public|Lyon|01|COLLEGE VICTOIRE DAUBIE|Hors EP|447|87.7|12.1|4.2
0010975E|933492.8|6576457.9|2014|01354|public|Lyon|01|COLLEGE JACQUES PREVERT|Hors EP|533|129.6|11.8|32.4
0010975E|933492.8|6576457.9|2015|01354|public|Lyon|01|COLLEGE JACQUES PREVERT|Hors EP|568|100.6|8.7|26.8
0010975E|933492.8|6576457.9|2016|01354|public|Lyon|01|COLLEGE JACQUES PREVERT|Hors EP|587|96.4|11.1|20
0010975E|933492.8|6576457.9|2017|01354|public|Lyon|01|COLLEGE JACQUES PREVERT|Hors EP|616|100.6|10.1|47.7
0010987T|905726.2|6578194.5|2014|01014|public|Lyon|01|COLLEGE JEAN ROSTAND|REP|609|88.5|7.7|13
0010987T|905726.2|6578194.5|2015|01014|public|Lyon|01|COLLEGE JEAN ROSTAND|REP|582|121|8.6|15.7
0010987T|905726.2|6578194.5|2016|01014|public|Lyon|01|COLLEGE JEAN ROSTAND|REP|582|113.6|11.1|51.6
0010987T|905726.2|6578194.5|2017|01014|public|Lyon|01|COLLEGE JEAN ROSTAND|REP|585|84.5|9.5|31.1
0011011U|941886.9|6587828.8|2014|01143|public|Lyon|01|COLLEGE MARCEL ANTHONIOZ|Hors EP|378|112.2|8.8|23.8
0011011U|941886.9|6587828.8|2015|01143|public|Lyon|01|COLLEGE MARCEL ANTHONIOZ|Hors EP|392|85.8|10.5|19.8
0011011U|941886.9|6587828.8|2016|01143|public|Lyon|01|COLLEGE MARCEL ANTHONIOZ|Hors EP|398|94.1|11.6|31.6
0011011U|941886.9|6587828.8|2017|01143|public|Lyon|01|COLLEGE MARCEL ANTHONIOZ|Hors EP|381|65|11.7|23
0011066D|918146.8|6560393.1|2014|01033|public|Lyon|01|COLLEGE LOUIS DUMONT|Hors EP|391|84|11|18.2
0011066D|918146.8|6560393.1|2015|01033|public|Lyon|01|COLLEGE LOUIS DUMONT|Hors EP|397|101.5|8.1|4.4
0011066D|918146.8|6560393.1|2016|01033|public|Lyon|01|COLLEGE LOUIS DUMONT|Hors EP|435|100.1|8.7|32.1
0011066D|918146.8|6560393.1|2017|01033|public|Lyon|01|COLLEGE LOUIS DUMONT|Hors EP|416|109.3|12|8.5
0011067E|909774.2|6521300.4|2014|01034|public|Lyon|01|COLLEGE SABINE ZLATIN|Hors EP|843|115.3|9.5|36.4
0011067E|909774.2|6521300.4|2015|01034|public|Lyon|01|COLLEGE SABINE ZLATIN|Hors EP|840|115.1|13.3|22.3
0011067E|909774.2|6521300.4|2016|01034|public|Lyon|01|COLLEGE SABINE ZLATIN|Hors EP|882|113.8|10|21.5
0011067E|909774.2|6521300.4|2017|01034|public|Lyon|01|COLLEGE SABINE ZLATIN|Hors EP|930|89.1|6.6|39.4
0011068F|901168.2|6564913.9|2014|01269|public|Lyon|01|COLLEGE XAVIER BICHAT|Hors EP|362|109.6|11.8|18.5
0011068F|901168.2|6564913.9|2015|01269|public|Lyon|01|COLLEGE XAVIER BICHAT|Hors EP|365|96.8|11.1|27.4
0011068F|901168.2|6564913.9|2016|01269|public|Lyon|01|COLLEGE XAVIER BICHAT|Hors EP|334|137.5|9.8|19.2
0011068F|901168.2|6564913.9|2017|01269|public|Lyon|01|COLLEGE XAVIER BICHAT|Hors EP|346|110.8|10.9|21.5
0011070H|848900|6594187.6|2014|01305|public|Lyon|01|COLLEGE ANTOINE CHINTREUIL|Hors EP|426|91.3|14.3|6
0011070H|848900|6594187.6|2015|01305|public|Lyon|01|COLLEGE ANTOINE CHINTREUIL|Hors EP|426|77.4|13.8|18.8
0011070H|848900|6594187.6|2016|01305|public|Lyon|01|COLLEGE ANTOINE CHINTREUIL|Hors EP|439|90|10.6|31
0011070H|848900|6594187.6|2017|01305|public|Lyon|01|COLLEGE ANTOINE CHINTREUIL|Hors EP|460|105.5|10.9|23.3
0011071J|880485.1|6589728|2014|01108|public|Lyon|01|COLLEGE LE GRAND CEDRE|Hors EP|398|129.8|11|42.3
0011071J|880485.1|6589728|2015|01108|public|Lyon|01|COLLEGE LE GRAND CEDRE|Hors EP|398|98.6|8.2|33.1
0011071J|880485.1|6589728|2016|01108|public|Lyon|01|COLLEGE LE GRAND CEDRE|Hors EP|399|122.3|10.4|37.6
0011071J|880485.1|6589728|2017|01108|public|Lyon|01|COLLEGE LE GRAND CEDRE|Hors EP|439|86.2|11|30.5
0011142L|861779.4|6530219.2|2014|01142|public|Lyon|01|COLLEGE MARCEL AYME|Hors EP|421|94|9.6|41.9
0011142L|861779.4|6530219.2|2015|01142|public|Lyon|01|COLLEGE MARCEL AYME|Hors EP|460|101.6|10.1|23
0011142L|861779.4|6530219.2|2016|01142|public|Lyon|01|COLLEGE MARCEL AYME|Hors EP|460|111.9|10.5|23.4
0011142L|861779.4|6530219.2|2017|01142|public|Lyon|01|COLLEGE MARCEL AYME|Hors EP|470|101.5|9|23.5
0011150V|908609.3|6521522.6|2014|01034|privé sous contrat|Lyon|01|COLLEGE PRIVE ENSEMBLE SCOLAIRE LAMARTINE|Hors EP|325|93.6|11.2|32.6
